楼栋 ,房号 , 建筑面积,套内建筑面积,得房率,申请毛坯单价 ,装修价,总价 ,操作 
1幢1单元,1002室,88.7㎡,72.2㎡,81.40%,25198元/㎡,-,2235062.6元,可售
1幢1单元,101室,118.5㎡,96.45㎡,81.39%,25923元/㎡,-,3071875.5元,可售
1幢1单元,102室,82.95㎡,67.52㎡,81.40%,24964元/㎡,-,2070763.8元,可售
1幢1单元,1101室,118.53㎡,96.48㎡,81.40%,27569元/㎡,-,3267753.57元,可售
1幢1单元,1102室,88.7㎡,72.2㎡,81.40%,25098元/㎡,-,2226192.6元,可售
1幢1单元,201室,118.53㎡,96.48㎡,81.40%,25728元/㎡,-,3049539.84元,可售
1幢1单元,202室,88.7㎡,72.2㎡,81.40%,23498元/㎡,-,2084272.6元,可售
1幢1单元,301室,118.53㎡,96.48㎡,81.40%,26028元/㎡,-,3085098.84元,可售
1幢1单元,302室,88.7㎡,72.2㎡,81.40%,23798元/㎡,-,2110882.6元,可售
1幢1单元,401室,118.53㎡,96.48㎡,81.40%,26228元/㎡,-,3108804.84元,可售
1幢1单元,402室,88.7㎡,72.2㎡,81.40%,23998元/㎡,-,2128622.6元,可售
1幢1单元,501室,118.53㎡,96.48㎡,81.40%,26428元/㎡,-,3132510.84元,可售
1幢1单元,502室,88.7㎡,72.2㎡,81.40%,24198元/㎡,-,2146362.6元,可售
1幢1单元,602室,88.7㎡,72.2㎡,81.40%,24398元/㎡,-,2164102.6元,可售
1幢1单元,701室,118.53㎡,96.48㎡,81.40%,26828元/㎡,-,3179922.84元,可售
1幢1单元,702室,88.7㎡,72.2㎡,81.40%,24598元/㎡,-,2181842.6元,可售
1幢1单元,801室,118.53㎡,96.48㎡,81.40%,27028元/㎡,-,3203628.84元,可售
1幢1单元,802室,88.7㎡,72.2㎡,81.40%,24798元/㎡,-,2199582.6元,可售
1幢1单元,901室,118.53㎡,96.48㎡,81.40%,27469元/㎡,-,3255900.57元,可售
1幢1单元,902室,88.7㎡,72.2㎡,81.40%,24998元/㎡,-,2217322.6元,可售
1幢2单元,1001室,88.7㎡,72.2㎡,81.40%,24964元/㎡,-,2214306.8元,可售
1幢2单元,1002室,118.53㎡,96.48㎡,81.40%,26223元/㎡,-,3108212.19元,可售
1幢2单元,101室,82.95㎡,67.52㎡,81.40%,24691元/㎡,-,2048118.45元,可售
1幢2单元,102室,118.5㎡,96.45㎡,81.39%,24985元/㎡,-,2960722.5元,可售
1幢2单元,1101室,88.7㎡,72.2㎡,81.40%,24864元/㎡,-,2205436.8元,可售
1幢2单元,1102室,118.53㎡,96.48㎡,81.40%,26123元/㎡,-,3096359.19元,可售
1幢2单元,202室,118.53㎡,96.48㎡,81.40%,24523元/㎡,-,2906711.19元,可售
1幢2单元,301室,88.7㎡,72.2㎡,81.40%,23564元/㎡,-,2090126.8元,可售
1幢2单元,302室,118.53㎡,96.48㎡,81.40%,24823元/㎡,-,2942270.19元,可售
1幢2单元,401室,88.7㎡,72.2㎡,81.40%,23764元/㎡,-,2107866.8元,可售
1幢2单元,402室,118.53㎡,96.48㎡,81.40%,25023元/㎡,-,2965976.19元,可售
1幢2单元,501室,88.7㎡,72.2㎡,81.40%,23964元/㎡,-,2125606.8元,可售
1幢2单元,502室,118.53㎡,96.48㎡,81.40%,25223元/㎡,-,2989682.19元,可售
1幢2单元,601室,88.7㎡,72.2㎡,81.40%,24164元/㎡,-,2143346.8元,可售
1幢2单元,602室,118.53㎡,96.48㎡,81.40%,25423元/㎡,-,3013388.19元,可售
1幢2单元,701室,88.7㎡,72.2㎡,81.40%,24364元/㎡,-,2161086.8元,可售
1幢2单元,702室,118.53㎡,96.48㎡,81.40%,25623元/㎡,-,3037094.19元,可售
1幢2单元,801室,88.7㎡,72.2㎡,81.40%,24564元/㎡,-,2178826.8元,可售
1幢2单元,802室,118.53㎡,96.48㎡,81.40%,25823元/㎡,-,3060800.19元,可售
1幢2单元,902室,118.53㎡,96.48㎡,81.40%,26023元/㎡,-,3084506.19元,可售
2幢1单元,1002室,89.01㎡,72.2㎡,81.11%,24874元/㎡,-,2214034.74元,可售
2幢1单元,101室,48.23㎡,45.79㎡,94.94%,-,-,-,
2幢1单元,102室,52.79㎡,50.12㎡,94.94%,-,-,-,
2幢1单元,103室,83.24㎡,67.52㎡,81.12%,24631元/㎡,-,2050284.44元,可售
2幢1单元,1101室,118.94㎡,96.48㎡,81.12%,27229元/㎡,-,3238617.26元,可售
2幢1单元,1102室,89.01㎡,72.2㎡,81.11%,24774元/㎡,-,2205133.74元,可售
2幢1单元,201室,118.94㎡,96.48㎡,81.12%,25383元/㎡,-,3019054.02元,可售
2幢1单元,202室,89.01㎡,72.2㎡,81.11%,23174元/㎡,-,2062717.74元,可售
2幢1单元,301室,118.94㎡,96.48㎡,81.12%,25683元/㎡,-,3054736.02元,可售
2幢1单元,302室,89.01㎡,72.2㎡,81.11%,23474元/㎡,-,2089420.74元,可售
